package	version	architecture	apt_mark	category	rebuild_profile	direct_or_dependency	component_or_feature	reason	evidence	confidence	notes
libcdio-utils	2.2.0-4.1~deb13u1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libcdio19t64:arm64	2.2.0-4.1~deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libcdio-dev, libcdio-utils, python3-cdio.	medium	parents=libcdio-dev,libcdio-utils,python3-cdio
libcdparanoia0:arm64	3.10.2+debian-14+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libwebkit2gtk-4.1-0:arm64, about-this-pi-forma, at-ease.	medium	parents=libwebkit2gtk-4.1-0:arm64,about-this-pi-forma,at-ease
libcdparanoia0:armhf	3.10.2+debian-14+b1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libchromaprint1:arm64	1.5.1-7	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavformat-dev:arm64, qmmp.	medium	parents=ffmpeg,libavformat-dev:arm64,qmmp
libchromaprint1:armhf	1.5.1-7	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libcjson1:arm64	1.7.18-3.1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavformat-dev:arm64, qmmp.	medium	parents=ffmpeg,libavformat-dev:arm64,qmmp
libcjson1:armhf	1.7.18-3.1+deb13u1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libclang-common-19-dev:arm64	1:19.1.7-3+b1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libclang-cpp19	1:19.1.7-3+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: clang-19, qtcreator, clang-tidy.	medium	parents=clang-19,qtcreator,clang-tidy
libclang-rt-19-dev:arm64	1:19.1.7-3+b1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libclang1-19	1:19.1.7-3+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: clang-19, clang-tidy, qt6-tools-dev-tools.	medium	parents=clang-19,clang-tidy,qt6-tools-dev-tools
libclass-method-modifiers-perl	2.15-1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: devscripts.	medium	parents=devscripts
libclass-xsaccessor-perl	1.19-4+b5	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: devscripts.	medium	parents=devscripts
libclone-perl:arm64	0.47-1+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: devscripts.	medium	parents=devscripts
libcloudproviders-dev:arm64	0.3.6-2	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libcloudproviders0:arm64	0.3.6-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libgtk-3-0t64:arm64, libgtk-3-dev:arm64, appmenu-gtk3-module:arm64.	medium	parents=libgtk-3-0t64:arm64,libgtk-3-dev:arm64,appmenu-gtk3-module:arm64
libcodec2-1.2:arm64	1.2.0-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavcodec-dev:arm64, qmmp.	medium	parents=ffmpeg,libavcodec-dev:arm64,qmmp
libcodec2-1.2:armhf	1.2.0-3	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libcolord2:arm64	1.4.7-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libgtk-3-0t64:arm64, xfce4-settings, appmenu-gtk3-module:arm64.	medium	parents=libgtk-3-0t64:arm64,xfce4-settings,appmenu-gtk3-module:arm64
libcolorhug2:arm64	1.4.7-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libcom-err2:arm64	1.47.2-3+b11	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libcom-err2:armhf	1.47.2-3+b11	armhf	manual	foreign-architecture	experimental-full-clone	direct	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libconfig++11:arm64	1.7.3-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: pipewire:arm64, pipewire-pulse, rpd-common.	medium	parents=pipewire:arm64,pipewire-pulse,rpd-common
libconfig11:arm64	1.7.3-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: picom.	medium	parents=picom
libcpuinfo0:arm64	0.0~git20250327.39ea79a-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libcrypt-dev:arm64	1:4.4.38-1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libcrypt1:arm64	1:4.4.38-1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libcryptsetup12:arm64	2:2.7.5-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: udisks2.	medium	parents=udisks2
libctf-nobfd0:arm64	2.44-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: clang-19, rpi-eeprom, rpi-update.	medium	parents=clang-19,rpi-eeprom,rpi-update
libctf0:arm64	2.44-3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: clang-19, rpi-eeprom, rpi-update.	medium	parents=clang-19,rpi-eeprom,rpi-update
libcups2t64:arm64	2.4.10-3+rpt2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: chromium, libgtk-3-0t64:arm64, chromium-l10n.	medium	parents=chromium,libgtk-3-0t64:arm64,chromium-l10n
libcups2t64:armhf	2.4.10-3+rpt2+deb13u1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libcupsfilters1t64:arm64	1.28.17-6+rpt1+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libcupsimage2t64:arm64	2.4.10-3+rpt2+deb13u1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libcurl3t64-gnutls:arm64	8.14.1-2+deb13u3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: flatpak, git, network-manager.	medium	parents=flatpak,git,network-manager
libcurl3t64-gnutls:armhf	8.14.1-2+deb13u3	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libcurl4-openssl-dev:arm64	8.14.1-2+deb13u3	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libcurl4t64:arm64	8.14.1-2+deb13u3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: cmake, curl, libcurl4-openssl-dev:arm64.	medium	parents=cmake,curl,libcurl4-openssl-dev:arm64
libcurl4t64:armhf	8.14.1-2+deb13u3	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdaemon0:arm64	0.14-7.1+b3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: avahi-daemon.	medium	parents=avahi-daemon
libdatrie-dev:arm64	0.2.13-3+b1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libdatrie1:arm64	0.2.13-3+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: chromium, firefox, labwc.	medium	parents=chromium,firefox,labwc
libdatrie1:armhf	0.2.13-3+b1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdav1d-dev:arm64	1.5.1-1	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libdav1d7:arm64	1.5.1-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: chromium, librsvg2-bin, chromium-l10n.	medium	parents=chromium,librsvg2-bin,chromium-l10n
libdav1d7:armhf	1.5.1-1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdaxctl1:arm64	81-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libdb5.3t64:arm64	5.3.28+dfsg2-9	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libdb5.3t64:armhf	5.3.28+dfsg2-9	armhf	manual	foreign-architecture	experimental-full-clone	direct	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdbus-1-3:arm64	1.16.2-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: avahi-daemon, bluez, chromium.	medium	parents=avahi-daemon,bluez,chromium
libdbus-1-3:armhf	1.16.2-2	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdbus-1-dev:arm64	1.16.2-2	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libdbus-glib-1-2:arm64	0.114-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: pcmanfm, rpd-common, rpd-x-core.	medium	parents=pcmanfm,rpd-common,rpd-x-core
libdbusmenu-glib-dev:arm64	18.10.20180917~bzr492+repack1-4	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libdbusmenu-glib4:arm64	18.10.20180917~bzr492+repack1-4	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libayatana-appindicator3-dev, libdbusmenu-gtk3-dev:arm64, wf-panel-pi.	medium	parents=libayatana-appindicator3-dev,libdbusmenu-gtk3-dev:arm64,wf-panel-pi
libdbusmenu-gtk3-4:arm64	18.10.20180917~bzr492+repack1-4	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libdbusmenu-gtk3-dev:arm64, wf-panel-pi, xfce4-panel.	medium	parents=libdbusmenu-gtk3-dev:arm64,wf-panel-pi,xfce4-panel
libdbusmenu-gtk3-dev:arm64	18.10.20180917~bzr492+repack1-4	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libdc1394-25:arm64	2.2.6-5	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavdevice-dev:arm64, vlc.	medium	parents=ffmpeg,libavdevice-dev:arm64,vlc
libdca0:arm64	0.0.7-2+b2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libdconf1:arm64	0.40.0-5	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: flatpak, raspi-config, pipewire-pulse.	medium	parents=flatpak,raspi-config,pipewire-pulse
libde265-0:arm64	1.0.15-1+b3	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libde265-0:armhf	1.0.15-1+b3	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdebconfclient0:arm64	0.280	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libdebhelper-perl	13.24.2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: debhelper, dh-autoreconf.	medium	parents=debhelper,dh-autoreconf
libdebuginfod-common	0.192-4	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: gdb.	medium	parents=gdb
libdebuginfod1t64:arm64	0.192-4	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: gdb.	medium	parents=gdb
libdecor-0-0:arm64	0.2.2-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: labwc, rpd-wayland-core.	medium	parents=labwc,rpd-wayland-core
libdeflate-dev:arm64	1.23-2	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libdeflate0:arm64	1.23-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: fbi, libfreeimage-dev:arm64, firefox.	medium	parents=fbi,libfreeimage-dev:arm64,firefox
libdeflate0:armhf	1.23-2	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdevel-callchecker-perl:arm64	0.009-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libdevmapper1.02.1:arm64	2:1.02.205-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: parted, rpd-common, udisks2.	medium	parents=parted,rpd-common,udisks2
libdialog15:arm64	1.3-20250116-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: dialog.	medium	parents=dialog
libdiscid-dev:arm64	0.6.4-2+b2	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libdiscid0:arm64	0.6.4-2+b2	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libdisplay-info2:arm64	0.2.0-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: weston, labwc, xfce4-panel.	medium	parents=weston,labwc,xfce4-panel
libdjvulibre-text	3.5.28-2.2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libdjvulibre21:arm64	3.5.28-2.2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libdnnl3.6:arm64	3.7.2+ds-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libdouble-conversion3:arm64	3.3.1-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: chromium, chromium-l10n, rpi-chromium-mods.	medium	parents=chromium,chromium-l10n,rpi-chromium-mods
libdpkg-perl	1.22.22	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: debhelper, debsums, devscripts.	medium	parents=debhelper,debsums,devscripts
libdrm-amdgpu1:arm64	2.4.131-1~bpo13+1+rpt2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libdrm-dev:arm64, chromium, clippy.	medium	parents=libdrm-dev:arm64,chromium,clippy
libdrm-amdgpu1:armhf	2.4.131-1~bpo13+1+rpt2	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdrm-common	2.4.131-1~bpo13+1+rpt2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: clippy, fbi, libdrm-dev:arm64.	medium	parents=clippy,fbi,libdrm-dev:arm64
libdrm-dev:arm64	2.4.131-1~bpo13+1+rpt2	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libdrm-etnaviv1:arm64	2.4.131-1~bpo13+1+rpt2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libdrm-dev:arm64.	medium	parents=libdrm-dev:arm64
libdrm-freedreno1:arm64	2.4.131-1~bpo13+1+rpt2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libdrm-dev:arm64.	medium	parents=libdrm-dev:arm64
libdrm-nouveau2:arm64	2.4.131-1~bpo13+1+rpt2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libdrm-dev:arm64, xserver-xorg, rpd-x-core.	medium	parents=libdrm-dev:arm64,xserver-xorg,rpd-x-core
libdrm-radeon1:arm64	2.4.131-1~bpo13+1+rpt2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libdrm-dev:arm64, xserver-xorg.	medium	parents=libdrm-dev:arm64,xserver-xorg
libdrm-tegra0:arm64	2.4.131-1~bpo13+1+rpt2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libdrm-dev:arm64.	medium	parents=libdrm-dev:arm64
libdrm2:arm64	2.4.131-1~bpo13+1+rpt2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: clippy, fbi, libdrm-dev:arm64.	medium	parents=clippy,fbi,libdrm-dev:arm64
libdrm2:armhf	2.4.131-1~bpo13+1+rpt2	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdtovl0:arm64	20260601-1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: raspi-utils, rpi-eeprom.	medium	parents=raspi-utils,rpi-eeprom
libduktape207:arm64	2.7.0-2+b2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: lxpolkit, rpd-common, python3-pyqt6.	medium	parents=lxpolkit,rpd-common,python3-pyqt6
libduktape207:armhf	2.7.0-2+b2	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdv4t64:arm64	1.0.0-17.1+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libwebkit2gtk-4.1-0:arm64, about-this-pi-forma, at-ease.	medium	parents=libwebkit2gtk-4.1-0:arm64,about-this-pi-forma,at-ease
libdv4t64:armhf	1.0.0-17.1+b1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdvbpsi10:arm64	1.3.3-1+b2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: vlc.	medium	parents=vlc
libdvdnav4:arm64	6.1.1-3+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: ffmpeg, libavformat-dev:arm64, qmmp.	medium	parents=ffmpeg,libavformat-dev:arm64,qmmp
libdvdnav4:armhf	6.1.1-3+b1	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdvdread8t64:arm64	6.1.3-2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: mkvtoolnix, ffmpeg, libavformat-dev:arm64.	medium	parents=mkvtoolnix,ffmpeg,libavformat-dev:arm64
libdvdread8t64:armhf	6.1.3-2	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libdw1t64:arm64	0.192-4	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: bluez, qtcreator, bluetooth.	medium	parents=bluez,qtcreator,bluetooth
libdynaloader-functions-perl	0.004-2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libeatmydata1:arm64	131-2+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
libebml5:arm64	1.4.5-1+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: mkvtoolnix, vlc.	medium	parents=mkvtoolnix,vlc
libebur128-1:arm64	1.2.6-1+b2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libpipewire-0.3-dev:arm64, qmmp, wireplumber.	medium	parents=libpipewire-0.3-dev:arm64,qmmp,wireplumber
libedit2:arm64	3.1-20250104-1	arm64	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
libedit2:armhf	3.1-20250104-1	armhf	manual	foreign-architecture	experimental-full-clone	direct	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libegl-dev:arm64	1.7.0-1+b2	arm64	auto	development-toolchain	development	dependency	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
libegl-mesa0:arm64	25.0.7-2+rpt4	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: weston, xserver-xorg-core, libegl1-mesa-dev:arm64.	medium	parents=weston,xserver-xorg-core,libegl1-mesa-dev:arm64
libegl-mesa0:armhf	25.0.7-2+rpt4	armhf	auto	foreign-architecture	experimental-full-clone	dependency	armhf compatibility	Foreign-architecture package retained for compatibility, likely related to Wine or multimedia compatibility layers.	dpkg foreign architecture is armhf; package architecture is armhf.	medium	none
libegl1-mesa-dev:arm64	25.0.7-2+rpt4	arm64	manual	development-toolchain	development	direct	development/build dependency	Preserved development or local build dependency.	APT history shows explicit February source-build dependency batches; owner requested development packages be preserved.	medium	none
